Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,CONST.,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG_500,MAX SZ,MIN SZ,Name catalog_500,Name number_500,Types_OpenNGC,Best_500,Notes
NGC5272,GCl,13:42:11.23,+28:22:31.6,CVn,16.2,,6.39,3,,,,M,5272,M 3,,,3.0,,,,,,,,,,,,,,,,,,Cvn,NGC5272,M3,13 42.2,+28 23,6.3,18.0,18.0,M,3.0,GCl,True,large_dso
NGC0224,G,00:42:44.35,+41:16:08.6,And,177.83,69.66,3.44,31,,,Andromeda Galaxy,M,0224,M 31,,,31.0,Messier,M 031,M 31,M 31,224,Sp,Andromeda Galaxy,3.4,00:01:48,41.27,178.0,63.0,,,224.0,NGC 224,True,And,NGC224,M31 ANDROMEDA GALAXY,00 42.7,+41 16,3.5,210.0,45.0,M,31.0,G,True,large_dso
NGC0598,G,01:33:50.89,+30:39:36.8,Tri,62.09,36.73,5.79,33,,,"Triangulum Galaxy,Triangulum Pinwheel",M,0598,M 33,,,33.0,Messier,M 033,M 33,M 33,598,Sp,Triangulum Galaxy,5.7,01:03:54,30.65,73.0,45.0,,,598.0,NGC 598,True,Tri,NGC598,M33 TRIANGULUM GALAXY,01 33.9,+30 39,5.7,68.7,41.6,M,33.0,G,True,large_dso
NGC1039,OCl,02:42:07.40,+42:44:46.1,Per,22.5,,5.2,34,,,,M,1039,M 34,,,34.0,Messier,M 034,M 34,M 34,1039,Oc,,5.5,02:02:00,42.78,35.0,35.0,,,1039.0,NGC 1039,True,Per,NGC1039,M34,02 42.1,+42 45,5.2,25.0,25.0,M,34.0,OCl,True,large_dso
NGC2168,OCl,06:09:05.06,+24:20:19.1,Gem,24.0,,5.1,35,,,,M,2168,M 35,,,35.0,Messier,M 035,M 35,M 35,2168,Oc,,5.3,06:08:54,24.33,28.0,28.0,,,2168.0,NGC 2168,True,Gem,NGC2168,M35,06 09.0,+24 21,5.1,25.0,25.0,M,35.0,OCl,True,large_dso
NGC2099,OCl,05:52:18.35,+32:33:10.8,Aur,11.4,,5.6,37,,,,M,2099,M 37,,,37.0,Messier,M 037,M 37,M 37,2099,Oc,,6.2,05:02:24,32.55,24.0,24.0,,,2099.0,NGC 2099,True,Aur,NGC2099,M37/Salt & Pepper Cluster,05 52.3,+32 33,5.6,15.0,15.0,M,37.0,OCl,True,large_dso
NGC1912,OCl,05:28:42.49,+35:51:17.7,Aur,9.6,,6.4,38,,,,M,1912,M 38,,,38.0,Messier,M 038,M 38,M 38,1912,Oc,,7.4,05:08:42,35.83,21.0,21.0,,,1912.0,NGC 1912,True,Aur,NGC1912,M38,05 28.7,+35 51,6.4,15.0,15.0,M,38.0,OCl,True,large_dso
NGC7092,OCl,21:31:48.32,+48:26:17.4,Cyg,19.5,,4.6,39,,,,M,7092,M 39,,,39.0,Messier,M 039,M 39,M 39,7092,Oc,,4.6,21:02:12,48.43,32.0,32.0,,,7092.0,NGC 7092,True,Cyg,NGC7092,M39,21 31.9,+48 26,4.6,31.0,31.0,M,39.0,OCl,True,large_dso
NGC6121,GCl,16:23:35.40,-26:31:31.9,Sco,28.2,,5.4,4,,,,M,6121,M 4,,,4.0,Messier,M 004,M 4,M 4,6121,Gc,,5.6,16:03:36,-26.53,26.3,26.3,,,6121.0,NGC 6121,True,Sco,NGC6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,5.4,36.0,36.0,M,4.0,GCl,True,large_dso
NGC2287,OCl,06:45:59.94,-20:45:15.2,CMa,12.0,,4.5,41,,,,M,2287,M 41,,,41.0,Messier,M 041,M 41,M 41,2287,Oc,,4.6,06:07:00,-20.73,38.0,38.0,,,2287.0,NGC 2287,True,Cma,NGC2287,M41 LITTLE BEEHIVE CLUSTER,06 46.1,-20 46,4.5,39.0,39.0,M,41.0,OCl,True,large_dso
NGC1976,Cl+N,05:35:16.48,-05:23:22.8,Ori,90.0,60.0,4.0,42,,,"Great Orion Nebula,Orion Nebula",M,1976,M 42,,,42.0,Messier,M 042,M 42,M 42,1976,Di,Great Nebula in Orion,4,05:05:24,-5.45,85.0,60.0,,,1976.0,NGC 1976,True,Ori,NGC1976,M42 ORION NEBULA,05 35.3,-05 23,4,47.0,60.0,M,42.0,Cl+N,True,large_dso
NGC1982,HII,05:35:31.38,-05:16:02.9,Ori,20.0,15.0,9.0,43,,,Mairan's Nebula,M,1982,M 43,,,43.0,Messier,M 043,M 43,M 43,1982,Di,De Mairan's Nebula,9,05:05:36,-5.27,20.0,15.0,,,1982.0,NGC 1982,True,Ori,NGC1982,M43/De Mairan's Nebula,05 35.5,-05 16,9,20.0,15.0,M,43.0,Neb,True,large_dso
NGC2632,OCl,08:40:22.20,+19:40:19.4,Cnc,108.6,,3.1,44,,,"Beehive,Praesepe Cluster",M,2632,M 44,,,44.0,Messier,M 044,M 44,M 44,2632,Oc,Beehive Cluster,3.7,08:00:06,19.98,95.0,95.0,,,2632.0,NGC 2632,True,,,,,,,,,,,,,large_dso
Mel022,OCl,03:47:28.6,+24:06:19,Tau,150.0,150.0,1.2,45,,,Pleiades,M,022,M 45,,,45.0,Messier,M 045,M 45,M 45,,Oc,Pleiades,1.6,03:07:00,24.12,110.0,110.0,,,,,True,,,,,,,,,,,,,large_dso
NGC2437,OCl,07:41:46.82,-14:48:36.0,Pup,21.0,,6.1,46,,,,M,2437,M 46,,,46.0,Messier,M 046,M 46,M 46,2437,Oc,,6,07:01:48,-14.82,27.0,27.0,,,2437.0,NGC 2437,True,Pup,NGC2437,M46,07 41.8,-14 49,6.1,20.0,20.0,M,46.0,OCl,True,large_dso
NGC2422,OCl,07:36:35.02,-14:28:57.4,Pup,19.8,,4.4,47,2478,,,M,2422,M 47,,,47.0,Messier,M 047,M 47,M 47,2422,Oc,,5.2,07:06:36,-14.5,30.0,30.0,,,2422.0,NGC 2422,True,Pup,NGC2422,M47,07 36.6,-14 29,4.4,25.0,25.0,M,47.0,OCl,True,large_dso
NGC2548,OCl,08:13:43.18,-05:45:01.6,Hya,28.2,,5.8,48,,,,M,2548,M 48,,,48.0,Messier,M 048,M 48,M 48,2548,Oc,,5.5,08:03:48,-5.8,54.0,54.0,,,2548.0,NGC 2548,True,Hya,NGC2548,M48,08 13.7,-05 45,5.8,30.0,30.0,M,48.0,OCl,True,large_dso
NGC5904,GCl,15:18:33.75,+02:04:57.7,Se1,15.0,,5.95,5,,,,M,5904,M 5,,,5.0,,,,,,,,,,,,,,,,,,Ser,NGC5904,M5 ROSE CLUSTER,15 18.6,+02 05,5.8,19.9,19.9,M,5.0,GCl,True,large_dso
NGC2323,OCl,07:02:40.47,-08:21:50.5,Mon,14.1,,5.9,50,,,,M,2323,M 50,,,50.0,,,,,,,,,,,,,,,,,,Mon,NGC2323,M50/Heart-Shaped Cluster,07 02.8,-08 23,5.9,15.0,15.0,M,50.0,OCl,True,large_dso
NGC7654,OCl,23:24:48.40,+61:35:35.4,Cas,9.9,,6.9,52,,,,M,7654,M 52,,,52.0,,,,,,,,,,,,,,,,,,Cas,NGC7654,M52 THE SCORPION CLUSTER,23 24.9,+61 36,6.9,16.0,16.0,M,52.0,OCl,True,large_dso
NGC6809,GCl,19:39:59.40,-30:57:43.5,Sgr,12.0,,6.49,55,,,,M,6809,M 55,,,55.0,Messier,M 055,M 55,M 55,6809,Gc,,6.3,19:00:00,-30.97,19.0,19.0,,,6809.0,NGC 6809,True,Sgr,NGC6809,M55 SPECTER CLUSTER,19 40.0,-30 58,6.3,19.0,19.0,M,55.0,GCl,True,large_dso
NGC6405,OCl,17:40:20.75,-32:15:15.0,Sco,15.6,,4.2,6,,,Butterfly Cluster,M,6405,M 6,,,6.0,Messier,M 006,M 6,M 6,6405,Oc,Butterfly Cluster,4.2,17:00:06,-32.22,25.0,25.0,,,6405.0,NGC 6405,True,Sco,NGC6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,4.2,33.0,33.0,M,6.0,OCl,True,large_dso
NGC6266,GCl,17:01:12.60,-30:06:44.5,Oph,7.8,,7.39,62,,,,M,6266,M 62,,,62.0,,,,,,,,,,,,,,,,,,Oph,NGC6266,M62 FLICKERING GLOBULAR,17 01.2,-30 07,6.4,15.0,15.0,M,62.0,GCl,True,large_dso
NGC2682,OCl,08:51:20.13,+11:48:43.0,Cnc,33.0,,6.9,67,,,,M,2682,M 67,,,67.0,Messier,M 067,M 67,M 67,2682,Oc,,6.1,08:00:24,11.82,30.0,30.0,,,2682.0,NGC 2682,True,Cnc,NGC2682,M67 KING COBRA CLUSTER,08 51.3,+11 49,6.9,25.0,25.0,M,67.0,OCl,True,large_dso
NGC2682,OCl,08:51:20.13,+11:48:43.0,Cnc,33.0,,6.9,67,,,,M,2682,M 67,,,67.0,NGC,NGC 2682,NGC 2682,NGC 2682 = M 67,2682,OC,M  67,6,08:50:24,11.82,30.0,30.0,,,2682.0,NGC 2682,True,Cnc,NGC2682,M67 KING COBRA CLUSTER,08 51.3,+11 49,6.9,25.0,25.0,M,67.0,OCl,True,large_dso
NGC6475,OCl,17:53:51.18,-34:47:34.2,Sco,22.2,,3.3,7,,,Ptolemy's Cluster,M,6475,M 7,,,7.0,Messier,M 007,M 7,M 7,6475,Oc,Ptolemy's Cluster,3.3,17:03:54,-34.82,80.0,80.0,,,6475.0,NGC 6475,True,,,,,,,,,,,,,large_dso
NGC6523,Neb,18:03:41.27,-24:22:48.6,Sgr,45.0,30.0,5.8,8,6533,,Lagoon Nebula,M,6523,M 8,,,8.0,Messier,M 008,M 8,M 8,6523,Di,Lagoon Nebula,6,18:03:48,-24.38,90.0,40.0,,,6523.0,NGC 6523,True,Sgr,NGC6523,M8 LAGOON NEBULA (Cluster = 6530),18 04.4,-24 23,4.6,15.0,30.0,M,8.0,Neb,True,large_dso
NGC3031,G,09:55:33.17,+69:03:55.1,UMa,21.63,11.25,6.92,81,,,Bode's Galaxy,M,3031,M 81,,,81.0,Messier,M 081,M 81,M 81,3031,Sp,Bode's Galaxy,6.9,09:05:36,69.07,21.0,10.0,,,3031.0,NGC 3031,True,Uma,NGC3031,M81 BODE'S NEBULA,09 55.6,+69 04,6.9,24.9,11.5,M,81.0,G,True,large_dso
NGC2447,OCl,07:44:29.23,-23:51:11.1,Pup,15.0,,6.2,93,,,,M,2447,M 93,,,93.0,Messier,M 093,M 93,M 93,2447,Oc,,6,07:04:36,-23.87,22.0,22.0,,,2447.0,NGC 2447,True,Pup,NGC2447,M93,07 44.5,-23 51,6.2,10.0,10.0,M,93.0,OCl,True,large_dso
Mel111,OCl,12:25:06.0,+26:06:00,Com,253.5,,,,,,Coma Star Cluster,Mel,111,Mel 111,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC1027,OCl,02:42:35.06,+61:35:39.7,Cas,7.8,,6.7,,,1824,,NGC,1027,NGC 1027,,,1027.0,NGC,NGC 1027,NGC 1027,NGC 1027,1027,OC,,6,02:42:42,61.55,20.0,20.0,,,1027.0,NGC 1027,True,,,,,,,,,,,,,large_dso
NGC0104,GCl,00:24:05.36,-72:04:53.2,Tuc,31.8,,4.09,,,,47 Tuc Cluster,NGC,0104,NGC 104,,,104.0,Caldwell,C 106,C 106,C 106,104,Gc,47 Tucanae,4,00:24:06,-72.08,31.0,31.0,,,104.0,NGC 104,True,,,,,,,,,,,,,large_dso
NGC0129,OCl,00:29:58.19,+60:12:40.2,Cas,5.4,,6.5,,,,,NGC,0129,NGC 129,,,129.0,NGC,NGC 129,NGC 129,NGC 129,129,OC,,6,00:29:54,60.23,21.0,21.0,,,129.0,NGC 129,True,,,,,,,,,,,,,large_dso
NGC1333,Cl+N,03:28:55.2,+31:22:12,Per,19.5,,,,,,,NGC,1333,NGC 1333,,,1333.0,,,,,,,,,,,,,,,,,,Per,NGC1333,EMBRYO NEBULA,03 29.3,+31 25,5.7,6.0,3.0,NGC,1333.0,Neb,True,large_dso
NGC1342,OCl,03:31:40.12,+37:22:45.8,Per,6.3,,6.7,,,,,NGC,1342,NGC 1342,,,1342.0,,,,,,,,,,,,,,,,,,Per,NGC1342,STINGRAY CLUSTER,03 31.7,+37 22,6.7,17.0,17.0,NGC,1342.0,OCl,True,large_dso
NGC1432,HII,03:45:49.59,+24:22:04.3,Tau,60.0,40.0,,,,,Maia Nebula,NGC,1432,NGC 1432,,,1432.0,NGC,NGC 1432,NGC 1432,NGC 1432,1432,Nb,Maia nebula,,03:45:48,24.37,30.0,30.0,,,1432.0,NGC 1432,True,,,,,,,,,,,,,large_dso
NGC1435,Neb,03:46:10.09,+23:45:53.9,Tau,30.0,30.0,,,,,Merope Nebula,NGC,1435,NGC 1435,,,1435.0,NGC,NGC 1435,NGC 1435,NGC 1435,1435,Nb,Merope nebula,,03:46:06,23.78,30.0,30.0,,,1435.0,NGC 1435,True,Tau,NGC1435,CED  19I     in Pleiades=MEROPE NEB./TEMPEL'S NEBULA   ,03 46.2,+23 46,?,30.0,30.0,NGC,1435.0,Neb,True,large_dso
NGC1499,Neb,04:03:14.42,+36:22:02.9,Per,160.0,40.0,,,,,California Nebula,NGC,1499,NGC 1499,,,1499.0,NGC,NGC 1499,NGC 1499,NGC 1499,1499,Nb,California nebula,,04:00:42,36.62,145.0,145.0,,,1499.0,NGC 1499,True,,,,,,,,,,,,,large_dso
NGC1502,OCl,04:07:49.30,+62:19:53.5,Cam,10.2,,6.9,,,,,NGC,1502,NGC 1502,,,1502.0,NGC,NGC 1502,NGC 1502,NGC 1502,1502,Oc,Jolly Roger Cluster,6,04:07:49,62.33,20.0,20.0,,,1502.0,NGC 1502,True,Cam,NGC1502,JOLLY ROGER CLUSTER/GOLDEN HARP CLUSTER,04 07.8,+62 20,6.9,20.0,20.0,NGC,1502.0,OCl,True,large_dso
NGC1528,OCl,04:15:18.87,+51:12:41.3,Per,9.6,,6.4,,,,,NGC,1528,NGC 1528,,,1528.0,NGC,NGC 1528,NGC 1528,NGC 1528,1528,OC,,6,04:15:24,51.23,24.0,24.0,,,1528.0,NGC 1528,True,Per,NGC1528,OCL  397          ,04 15.3,+51 13,6.4,18.0,18.0,NGC,1528.0,OCl,True,large_dso
NGC1545,OCl,04:20:56.26,+50:15:19.2,Per,4.2,,6.2,,,,,NGC,1545,NGC 1545,,,1545.0,NGC,NGC 1545,NGC 1545,NGC 1545,1545,OC,,6,04:20:54,50.25,18.0,18.0,,,1545.0,NGC 1545,True,Per,NGC1545,OCL  399          ,04 20.9,+50 15,6.2,12.0,12.0,NGC,1545.0,OCl,True,large_dso
NGC1582,OCl,04:31:46.79,+43:47:05.4,Per,7.8,,7.0,,,,,NGC,1582,NGC 1582,,,1582.0,NGC,NGC 1582,NGC 1582,NGC 1582,1582,OC,,7,04:32:00,43.85,37.0,37.0,,,1582.0,NGC 1582,True,,,,,,,,,,,,,large_dso
NGC1647,OCl,04:45:55.57,+19:05:42.4,Tau,27.0,,6.4,,,,,NGC,1647,NGC 1647,,,1647.0,NGC,NGC 1647,NGC 1647,NGC 1647,1647,OC,Pirate Moon Cluster,6,04:46:00,19.07,45.0,45.0,,,1647.0,NGC 1647,True,Tau,NGC1647,PIRATE MOON CLUSTER,04 45.7,+19 07,6.4,40.0,40.0,NGC,1647.0,OCl,True,large_dso
NGC1662,OCl,04:48:28.95,+10:55:49.4,Ori,13.8,,6.4,,,,,NGC,1662,NGC 1662,,,1662.0,NGC,NGC 1662,NGC 1662,NGC 1662,1662,OC,,6,04:48:30,10.93,20.0,20.0,,,1662.0,NGC 1662,True,,,,,,,,,,,,,large_dso
NGC1664,OCl,04:51:05.43,+43:40:34.2,Aur,11.4,,7.6,,,,,NGC,1664,NGC 1664,,,1664.0,NGC,NGC 1664,NGC 1664,NGC 1664,1664,OC,,7,04:51:06,43.7,18.0,18.0,,,1664.0,NGC 1664,True,Aur,NGC1664,OCL  411          ,04 51.1,+43 41,7.6,18.0,18.0,NGC,1664.0,OCl,True,large_dso
NGC1746,OCl,05:03:50.19,+23:46:03.5,Tau,18.0,,6.1,,,,,NGC,1746,NGC 1746,,,1746.0,NGC,NGC 1746,NGC 1746,NGC 1746,1746,OC,,6,05:03:36,23.82,42.0,42.0,,,1746.0,NGC 1746,True,Tau,NGC1746,OCL  452          ,05 03.6,+23 49,6.1,40.0,40.0,NGC,1746.0,OCl,True,large_dso
NGC1763,Cl+N,04:56:49.19,-66:24:32.7,Dor,5.2,3.6,9.4,,,,,NGC,1763,NGC 1763,,,1763.0,NGC,NGC 1763,NGC 1763,NGC 1763,1763,Nb,,,04:56:48,-65.6,25.0,25.0,,,1763.0,NGC 1763,True,,,,,,,,,,,,,large_dso
NGC1787,OCl,05:01:44.41,-65:49:23.9,Dor,24.0,14.0,10.92,,,,,NGC,1787,NGC 1787,,,1787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC1817,OCl,05:12:26.27,+16:41:02.7,Tau,9.3,,7.7,,,,,NGC,1817,NGC 1817,,,1817.0,,,,,,,,,,,,,,,,,,Tau,NGC1817,POOR MAN'S DOUBLE CLUSTER,05 12.5,+16 41,7.7,20.0,20.0,NGC,1817.0,OCl,True,large_dso
NGC0188,OCl,00:47:27.53,+85:16:10.7,Cep,17.7,,8.1,,,,,NGC,0188,NGC 188,,,188.0,,,,,,,,,,,,,,,,,,Cep,NGC188,POLARISSIMA CLUSTER,00 47.5,+85 14,8.1,15.0,15.0,NGC,188.0,OCl,True,large_dso
NGC1893,OCl,05:22:44.14,+33:24:43.3,Aur,6.0,,7.5,,,,,NGC,1893,NGC 1893,,,1893.0,,,,,,,,,,,,,,,,,,Aur,NGC1893,IC 410           ,05 22.8,+33 25,7.5,25.0,25.0,NGC,1893.0,OCl,True,large_dso
NGC1909,RfN,05:04:55.44,-07:15:56.3,Eri,180.0,60.0,,,,2118,the Witch Head Nebula,NGC,1909,NGC 1909,,,1909.0,IC,IC 2118,NGC 1909,IC 2118 = NGC 1909,1909,Nb,Witch Head nebula,,05:06:54,-6.78,180.0,180.0,,,1909.0,NGC 1909,True,,,,,,,,,,,,,large_dso
NGC1977,Cl+N,05:35:15.80,-04:50:39.6,Ori,10.2,,,,,,the Running Man Nebula,NGC,1977,NGC 1977,,,1977.0,NGC,NGC 1977,NGC 1977,NGC 1977,1977,Nb,Running Man,,05:35:30,-3.13,20.0,20.0,,,1977.0,NGC 1977,True,Ori,NGC1977(CLUSTER),CLUSTER IN NGC1973/1975,05 35.3,-04 49,7,20.0,10.0,NGC,1977.0,Cl+N,True,large_dso
NGC1980,Cl+N,05:35:25.99,-05:54:35.6,Ori,9.3,,2.5,,,,Lower Sword,NGC,1980,NGC 1980,,,1980.0,,,,,,,,,,,,,,,,,,Ori,NGC1980,The Lost Jewel of Orion=CLUSTER WITH NEBULA       ,05 35.4,-05 55,2.5,15.0,14.0,NGC,1980.0,Cl+N,True,large_dso
NGC1981,Cl+N,05:35:09.59,-04:25:30.2,Ori,9.0,,4.2,,,,Upper Sword,NGC,1981,NGC 1981,,,1981.0,NGC,NGC 1981,NGC 1981,NGC 1981,1981,OC,,4,05:35:12,-3.57,25.0,25.0,,,1981.0,NGC 1981,True,Ori,NGC1981,COAL CAR CLUSTER-JUST N. OF 1973/5/7,05 35.2,-04 26,4.2,28.0,28.0,NGC,1981.0,OCl,True,large_dso
NGC2024,Neb,05:41:42.57,-01:51:22.6,Ori,30.0,30.0,,,,,,NGC,2024,NGC 2024,,,2024.0,NGC,NGC 2024,NGC 2024,NGC 2024,2024,Nb,Flame Nebula,,05:41:54,-0.15,30.0,30.0,,,2024.0,NGC 2024,True,Ori,NGC2024,LIPS NEBULA/FLAME NEBULA/MAPLE LEAF NEB./TANK NEB.,05 41.7,-01 51,?,30.0,22.0,NGC,2024.0,Neb,True,large_dso
NGC2052,Neb,05:37:11.05,-69:46:27.1,Dor,18.0,12.0,,,,,,NGC,2052,NGC 2052,,,2052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC2070,HII,05:38:42.36,-69:06:03.2,Dor,16.0,16.0,7.25,,,,"30 Dor Cluster,Tarantula Nebula",NGC,2070,NGC 2070,,,2070.0,Caldwell,C 103,C 103,C 103,2070,Bn,Tarantula Nebula, ,05:38:42,-69.1,40.0,25.0,,,2070.0,NGC 2070,True,,,,,,,,,,,,,large_dso
NGC2112,OCl,05:53:45.21,+00:24:38.9,Ori,21.0,,9.1,,,,,NGC,2112,NGC 2112,,,2112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC2174,Neb,06:09:23.62,+20:39:34.5,Ori,40.0,30.0,,,,,Monkey Head Nebula,NGC,2174,NGC 2174,,,2174.0,NGC,NGC 2174,NGC 2174,NGC 2174,2174,Nb,,,06:09:42,20.5,40.0,40.0,,,2174.0,NGC 2174,True,,,,,,,,,,,,,large_dso
NGC2175,Cl+N,06:09:39.55,+20:29:15.3,Ori,5.4,,6.8,,,,,NGC,2175,NGC 2175,,,2175.0,NGC,NGC 2175,NGC 2175,NGC 2175,2175,OC,,6,06:09:48,20.32,18.0,18.0,,,2175.0,NGC 2175,True,,,,,,,,,,,,,large_dso
NGC2232,OCl,06:28:01.13,-04:50:50.8,Mon,9.9,,3.9,,,,,NGC,2232,NGC 2232,,,2232.0,NGC,NGC 2232,NGC 2232,NGC 2232,2232,OC,,3,06:26:36,-3.25,30.0,30.0,,,2232.0,NGC 2232,True,,,,,,,,,,,,,large_dso
NGC2237,Neb,06:30:54.61,+05:02:57.0,Mon,80.0,50.0,,,,,Rosette A,NGC,2237,NGC 2237,,,2237.0,Caldwell,C 049,C 49,C 49,2237,Bn,Rosette Nebula,-,06:32:18,5.05,80.0,60.0,,,2237.0,NGC 2237,True,Mon,NGC2237/2238/2239/2246,The Rosette Nebula,06 31.9,+04 57,5.5,80.0,60.0,NGC,2237.0,Neb,True,large_dso
NGC2238,HII,06:30:40.37,+05:00:47.0,Mon,80.0,60.0,,,,,Rosette Nebula,NGC,2238,NGC 2238,,,2238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC2239,Cl+N,06:31:55.56,+04:56:34.6,Mon,9.3,,4.8,,2244,,,NGC,2239,NGC 2239,,,2239.0,Caldwell,C 050,C 50,C 50,2239,Oc,,4.8,06:32:24,4.87,24.0,24.0,,,2239.0,NGC 2239,True,,,,,,,,,,,,,large_dso
NGC 2244 CLUSTER IN ROS,OCl,06:32:03,+04:51:00.0,Mon,30.0,30.0,4.8,,NGC2244 CLUSTER IN ROS.,,cluster in the Rosette,NGC,,NGC 2244 CLUSTER IN ROS,,,2244.0,,,,,,,,,,,,,,,,,,Mon,NGC2244 CLUSTER IN ROS.,cluster in the Rosette,06 32.3,+04 51,4.8,30.0,30.0,NGC,2244.0,OCl,True,large_dso
NGC2252,OCl,06:34:42.97,+05:21:58.5,Mon,6.6,,7.7,,,,,NGC,2252,NGC 2252,,,2252.0,NGC,NGC 2252,NGC 2252,NGC 2252,2252,OC,,8,06:35:00,5.38,20.0,20.0,,,2252.0,NGC 2252,True,,,,,,,,,,,,,large_dso
NGC2264,Cl+N,06:40:58.25,+09:53:43.7,Mon,11.4,,3.9,,,,Christmas Tree Cluster,NGC,2264,NGC 2264,,,2264.0,NGC,NGC 2264,NGC 2264,NGC 2264,2264,C+N,Christmas Tree cluster,3,06:41:06,9.88,60.0,60.0,,,2264.0,NGC 2264,True,Mon,NGC2264,CHRISTMAS TREE CLUSTER/CONE NEBULA,06 41.0,+09 54,4.1,40.0,40.0,NGC,2264.0,Cl+N,True,large_dso
NGC2281,OCl,06:48:17.84,+41:04:43.9,Aur,10.8,,5.4,,,,,NGC,2281,NGC 2281,,,2281.0,,,,,,,,,,,,,,,,,,Aur,NGC2281,THE BROKEN HEART CLUSTER,06 48.3,+41 05,5.4,25.0,25.0,NGC,2281.0,OCl,True,large_dso
NGC2286,OCl,06:47:40.17,-03:08:51.6,Mon,5.4,,7.5,,,,,NGC,2286,NGC 2286,,,2286.0,,,,,,,,,,,,,,,,,,Mon,NGC2286,OCL  548          ,06 47.7,-03 09,7.5,15.0,15.0,NGC,2286.0,OCl,True,large_dso
NGC2301,OCl,06:51:45.30,+00:27:33.1,Mon,10.8,,6.0,,,,Great Bird Cluster,NGC,2301,NGC 2301,,,2301.0,,,,,,,,,,,,,,,,,,Mon,NGC2301,HAGRID'S DRAGON,06 51.8,+00 28,6,15.0,15.0,NGC,2301.0,OCl,True,large_dso
NGC2331,OCl,07:06:59.83,+27:15:41.7,Gem,4.8,,8.5,,,,,NGC,2331,NGC 2331,,,2331.0,NGC,NGC 2331,NGC 2331,NGC 2331,2331,OC,,9,07:07:12,27.35,18.0,18.0,,,2331.0,NGC 2331,True,,,,,,,,,,,,,large_dso
NGC2353,OCl,07:14:30.31,-10:15:57.1,Mon,6.6,,7.1,,,,,NGC,2353,NGC 2353,,,2353.0,NGC,NGC 2353,NGC 2353,NGC 2353,2353,OC,,7,07:14:36,-9.7,20.0,20.0,,,2353.0,NGC 2353,True,Mon,NGC2353,AVERY'S ISLAND,07 14.5,-10 16,7.1,18.0,18.0,NGC,2353.0,OCl,True,large_dso
NGC2354,OCl,07:14:05.27,-25:41:20.1,CMa,4.8,,6.5,,,,,NGC,2354,NGC 2354,,,2354.0,NGC,NGC 2354,NGC 2354,NGC 2354,2354,OC,,6,07:14:18,-24.27,20.0,20.0,,,2354.0,NGC 2354,True,Cma,NGC2354,OCL  639          ,07 14.3,-25 42,6.5,18.0,18.0,NGC,2354.0,OCl,True,large_dso
NGC2374,OCl,07:23:56.07,-13:15:48.1,CMa,9.0,,8.0,,,,,NGC,2374,NGC 2374,,,2374.0,NGC,NGC 2374,NGC 2374,NGC 2374,2374,OC,,8,07:24:00,-12.73,19.0,19.0,,,2374.0,NGC 2374,True,Cma,NGC2374,OCL  585          ,07 23.9,-13 16,8,12.0,12.0,NGC,2374.0,OCl,True,large_dso
NGC2403,G,07:36:51.40,+65:36:09.2,Cam,19.95,10.07,8.43,,,,,NGC,2403,NGC 2403,,,2403.0,Caldwell,C 007,C 7,C 7,2403,Sp,,8.9,07:36:54,65.6,18.0,10.0,,,2403.0,NGC 2403,True,Cam,NGC2403,UGC 3918         ,07 36.8,+65 36,8.5,23.4,11.8,NGC,2403.0,G,True,large_dso
NGC2423,OCl,07:37:06.73,-13:52:17.4,Pup,11.7,,6.7,,,,,NGC,2423,NGC 2423,,,2423.0,NGC,NGC 2423,NGC 2423,NGC 2423,2423,OC,,6,07:37:06,-12.13,19.0,19.0,,,2423.0,NGC 2423,True,,,,,,,,,,,,,large_dso
NGC2451,OCl,07:45:15.01,-37:58:02.8,Pup,37.5,,9.5,,,,,NGC,2451,NGC 2451,,,2451.0,NGC,NGC 2451,NGC 2451,NGC 2451,2451,OC,,2,07:45:24,-36.03,45.0,45.0,,,2451.0,NGC 2451,True,Pup,NGC2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,2.8,50.0,50.0,NGC,2451.0,OCl,True,large_dso
NGC2467,Cl+N,07:52:23.43,-26:26:36.0,Pup,4.2,,,,,,,NGC,2467,NGC 2467,,,2467.0,,,,,,,,,,,,,,,,,,Pup,NGC2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,8,16.0,12.0,NGC,2467.0,Cl+N,True,large_dso
